Date,Energy,Bond
24/10/2012,470.72,134.85
25/10/2012,472.58,134.93
26/10/2012,467.01,135.03
29/10/2012,469.21,135.05
30/10/2012,469.05,135.66
31/10/2012,468,135.45
01/11/2012,468.69,135.65
02/11/2012,464.59,135.14
05/11/2012,459.32,135.33
06/11/2012,467.13,135.54
07/11/2012,466.25,135.45
08/11/2012,462.03,135.22
09/11/2012,457.73,134.96
12/11/2012,451.94,135.01
13/11/2012,450.81,134.85
14/11/2012,446.62,134.52
15/11/2012,448.62,134.7
16/11/2012,452.29,134.38
19/11/2012,461.42,135.47
20/11/2012,456.7,134.99
21/11/2012,457.83,134.78
22/11/2012,459.59,135.36
23/11/2012,466.73,136.03
26/11/2012,475.16,136.34
27/11/2012,470.68,135.96
28/11/2012,470.23,136.12
29/11/2012,477.03,136.4
30/11/2012,477.52,136.25
03/12/2012,472.87,136.6
04/12/2012,477.88,137.05
05/12/2012,480.12,137.07
06/12/2012,484.96,137.29
07/12/2012,491.88,137.09
10/12/2012,491.28,137.01
11/12/2012,493.9,137.59
12/12/2012,501.8,137.69
13/12/2012,502.16,137.58
14/12/2012,508.82,137.48
17/12/2012,524.74,137.88
18/12/2012,518.21,138.25
19/12/2012,527.28,138.56
20/12/2012,533.28,138.63
21/12/2012,531.92,138.06
24/12/2012,528.54,137.85
25/12/2012,531.63,137.87
26/12/2012,529.69,138.03
27/12/2012,527.14,138.24
28/12/2012,518.51,138.46
31/12/2012,519.4,138.53
01/01/2013,519.4,138.55
02/01/2013,532.23,139.11
03/01/2013,540.58,138.35
04/01/2013,546.59,137.72
07/01/2013,543,138.38
08/01/2013,537.28,138.09
09/01/2013,545.42,138.12
10/01/2013,553.73,138.8
11/01/2013,554.6,138.73
14/01/2013,550.31,139.05
15/01/2013,552.23,138.7
16/01/2013,545.75,138.56
17/01/2013,545.09,138.6
18/01/2013,548.11,137.94
21/01/2013,545.59,138.12
22/01/2013,549.42,138.27
23/01/2013,548.75,138.02
24/01/2013,544.02,138.24
25/01/2013,538.7,138.55
28/01/2013,534.92,138.19
29/01/2013,535.36,138.74
30/01/2013,534.81,138.78
31/01/2013,531.39,139.14
01/02/2013,529.9,139.95
04/02/2013,524.8,139.54
05/02/2013,519.21,139.23
06/02/2013,527.78,139
07/02/2013,529.34,138.23
08/02/2013,525.51,138.39
11/02/2013,527.84,138.32
12/02/2013,534.17,138.83
13/02/2013,531.34,139.27
14/02/2013,539.72,139.18
15/02/2013,544.07,139.06
18/02/2013,541.79,138.88
19/02/2013,541.74,139.13
20/02/2013,545.53,139.06
21/02/2013,535.54,138
22/02/2013,535.48,137.89
25/02/2013,534.39,138.12
26/02/2013,526.49,137.44
27/02/2013,526.63,137.72
28/02/2013,529.94,137.56
01/03/2013,527.84,137.23
04/03/2013,526.1,137.32
05/03/2013,531.4,137.72
06/03/2013,535.03,137.64
07/03/2013,535.8,137.89
08/03/2013,535.82,137.37
11/03/2013,534.62,137.56
12/03/2013,529.4,137.84
13/03/2013,522.36,137.33
14/03/2013,529.8,137.41
15/03/2013,533.72,137.89
18/03/2013,525.67,137.76
19/03/2013,526.31,137.35
20/03/2013,531.05,137.38
21/03/2013,537.21,137.45
22/03/2013,540.77,137.51
25/03/2013,529.93,137.27
26/03/2013,532.19,137.47
27/03/2013,532.91,137.2
28/03/2013,535.13,137.51
29/03/2013,538.11,137.54
01/04/2013,536.36,137.54
02/04/2013,526.77,137.68
03/04/2013,528.07,137.66
04/04/2013,523.69,137.4
05/04/2013,522.48,138.41
08/04/2013,526.68,138.81
09/04/2013,546.73,139.19
10/04/2013,561.71,139.47
11/04/2013,569.97,139.92
12/04/2013,590.17,139.61
15/04/2013,595.51,139.22
16/04/2013,592.31,139.08
17/04/2013,578.27,138.41
18/04/2013,570.22,138.42
19/04/2013,579.36,138.33
22/04/2013,579.8,138.27
23/04/2013,585.72,137.85
24/04/2013,594.63,137.86
25/04/2013,596.68,138.29
26/04/2013,596.38,138.49
29/04/2013,605.59,138.99
30/04/2013,612.97,139.49
01/05/2013,615.62,139.29
02/05/2013,616.15,138.99
03/05/2013,616.26,139.2
06/05/2013,619.85,138.81
07/05/2013,623.68,138.71
08/05/2013,634.58,139.12
09/05/2013,631.39,138.91
10/05/2013,635.31,137.7
13/05/2013,638.76,137.54
14/05/2013,650.04,137.26
15/05/2013,652.94,136.78
16/05/2013,655.97,137.06
17/05/2013,654.89,136.28
20/05/2013,673.06,136.58
21/05/2013,676.43,136.48
22/05/2013,660.59,136.36
23/05/2013,641.68,136.11
24/05/2013,654.34,136.24
27/05/2013,651.77,136.17
28/05/2013,650.98,135.54
29/05/2013,668.29,135.63
30/05/2013,665.26,135.9
31/05/2013,653.86,134.94
03/06/2013,654.21,135.61
04/06/2013,653.58,135.63
05/06/2013,641.6,135.11
06/06/2013,633.89,135.33
07/06/2013,635.41,135.16
10/06/2013,646.93,134.56
11/06/2013,638.04,134.58
12/06/2013,639.24,135.38
13/06/2013,636.41,135.66
14/06/2013,640.06,136.6
17/06/2013,658.41,136.08
18/06/2013,659.56,135.67
19/06/2013,656.06,136.13
20/06/2013,629.38,132.87
21/06/2013,627.34,132.28
24/06/2013,612.32,131.51
25/06/2013,610.67,131.86
26/06/2013,626.02,132.03
27/06/2013,635.65,132.1
28/06/2013,638.42,131.89
01/07/2013,639.46,132.51
02/07/2013,642.12,132.36
03/07/2013,634.27,131.7
04/07/2013,639.14,132.13
05/07/2013,641.42,130.77
08/07/2013,645.69,131.27
09/07/2013,650.55,131.31
10/07/2013,652.01,131.48
11/07/2013,667.02,132.1
12/07/2013,662.74,132.1
15/07/2013,673.28,132.33
16/07/2013,680.76,133.45
17/07/2013,678.64,133.47
18/07/2013,680.27,133.54
19/07/2013,683.64,134.05
22/07/2013,692.82,134.65
23/07/2013,693.87,134.85
24/07/2013,696.76,134.41
25/07/2013,691.49,134.19
26/07/2013,687.76,134.48
29/07/2013,680.22,134.38
30/07/2013,688.91,133.76
31/07/2013,683.05,133.67
01/08/2013,693.23,133.05
02/08/2013,703.05,133.35
05/08/2013,706.83,133.13
06/08/2013,706.11,133.65
07/08/2013,686.61,133.91
08/08/2013,691.99,134.6
09/08/2013,694.97,134.68
12/08/2013,698.4,134.3
